address_centr,LAT_LON_centr
"montebello, CA, USA","(34.0159398, -118.111975)"
"wheat ridge, CO, USA","(39.766098, -105.0772063)"
"bull valley, IL, USA","(42.3205773, -88.3550887)"
"rockford, TN, USA","(35.8275832, -83.9407373)"
"santa rosa, CA, USA","(38.4404925, -122.7141049)"
"warren, MI, USA","(42.4932575, -83.0062746)"
"pickerington, OH, USA","(39.8842304, -82.7535049)"
"anthony, FL, USA","(29.2893282, -82.1118205)"
"mooresville, NC, USA","(35.5848596, -80.8100724)"
"vienna, VA, USA","(38.9013729, -77.2651762)"
"ocklawaha, FL, USA","(29.0427592, -81.9292505)"
"northridge, CA, USA","(34.2345615, -118.5369316)"
"winter park, FL, USA","(28.5977707, -81.3510264)"
"santa maria, CA, USA","(34.9531295, -120.435857)"
"centennial, CO, USA","(39.579155, -104.8769227)"
"college park, GA, USA","(33.6534427, -84.4493725)"
"davis, CA, USA","(38.5435526, -121.739005)"
"odessa, TX, USA","(31.8457149, -102.367687)"
"cooper city, FL, USA","(26.0474608, -80.2738441811781)"
"pasadena, TX, USA","(29.6910753, -95.2092076)"
"watauga, TX, USA","(32.8579056, -97.2547371)"
"lake odessa, MI, USA","(42.7847564, -85.1383367)"
"allen, TX, USA","(33.1031744, -96.6705503)"
"thousand oaks, CA, USA","(34.1705609, -118.8375937)"
"deltona, FL, USA","(28.904843, -81.2273119)"
"fort collins, CO, USA","(40.5871782, -105.0770113)"
"sherman oaks, CA, USA","(34.1508718, -118.448986)"
"provo, UT, USA","(40.2337289, -111.6587085)"
"lorain, OH, USA","(41.2633554, -82.1734746)"
"mayville, NY, USA","(42.253947, -79.504491)"
"kansas city, MO, USA","(39.100105, -94.5781416)"
"kennewick, WA, USA","(46.2087066, -119.119919)"
"pueblo west, CO, USA","(38.3558615, -104.7112109849374)"
"garden grove, CA, USA","(33.7746292, -117.9463717)"
"pacoima, CA, USA","(34.2625025, -118.427027)"
"bainbridge island, WA, USA","(47.6262688, -122.5209429)"
"columbus, OH, USA","(39.9622601, -83.0007065)"
"falconer, NY, USA","(42.11867, -79.19838)"
"grand junction, CO, USA","(39.0672568, -108.56448)"
"shelburne, VT, USA","(44.3783486, -73.2276183)"
"bunker hill village, TX, USA","(29.7674508, -95.5299427)"
"commercecity, CO, USA",
"piney pt village, TX, USA","(29.759951, -95.5171646)"
"naperville, IL, USA","(41.7728699, -88.1479278)"
"middleville, NY, USA","(43.138823, -74.9683)"
"jacksonville, NC, USA","(34.7494749, -77.4208221)"
"unincorporated dade county, FL, USA",
"stockton, CA, USA","(37.9577016, -121.290779)"
"robinson, TX, USA","(31.4676687, -97.1147226)"
"ann arbor, MI, USA","(42.2813722, -83.7484616)"
"montgomery, OH, USA","(39.6837328, -84.2854817)"
"boca grande, FL, USA","(26.7489586, -82.262039)"
"redington beach, FL, USA","(27.8086364, -82.811214)"
"modesto, CA, USA","(37.6390972, -120.996878)"
"middle village, NY, USA","(40.718222749999995, -73.87867894730417)"
"jackson heights, NY, USA","(40.7556561, -73.8857755)"
"socorro, TX, USA","(31.654557, -106.3033146)"
"dallas, NC, USA","(35.3160401, -81.1764865)"
"silver lake, CA, USA","(34.0896518, -118.269373)"
"antelope, CA, USA","(38.7082357, -121.3299513)"
"des moines, WA, USA","(47.398829, -122.3099093)"
"lakewood, WA, USA","(47.1717649, -122.518458)"
"wachee, FL, USA","(28.5156479, -82.5735662)"
"celina, TX, USA","(33.3234203, -96.7864112)"
"saginaw, MI, USA","(43.4200387, -83.9490365)"
"katy, TX, USA","(29.7857853, -95.8243956)"
"waddell, AZ, USA","(33.5643025, -112.4447662)"
"northglenn, CO, USA","(39.9100858, -104.987552)"
"glendale, WI, USA","(43.1352881, -87.9356423)"
"hillsboro, OR, USA","(45.5228939, -122.989827)"
"goodlettsville, TN, USA","(36.3231067, -86.7133302)"
"fremont, CA, USA","(37.5482697, -121.988571)"
"camby, IN, USA","(39.661472, -86.3120233)"
"gray, TN, USA","(36.4198258, -82.4765352)"
"littcarr, KY, USA","(37.2409321, -82.9487727)"
"laveen, AZ, USA","(33.3618814, -112.1533861)"
"redford, MI, USA","(42.3833698, -83.2965971)"
"north port, FL, USA","(27.044224, -82.2359254)"
"whitefish bay, WI, USA","(43.1133445, -87.9000856)"
"fox island, WA, USA","(47.2490275, -122.62634457838112)"
"beulah, CO, USA","(38.0750064, -104.986655)"
"farmers branch, TX, USA","(32.9265668, -96.8960916)"
"glendale, NY, USA","(40.7014917, -73.8868028)"
"alexandria, VA, USA","(38.8051095, -77.0470229)"
"river hills, WI, USA","(43.1678887, -87.9356638)"
"windcrest, TX, USA","(29.515508, -98.3802925)"
"peoria, IL, USA","(40.6938609, -89.5891008)"
"mission hills, CA, USA","(34.687584, -120.43901754304565)"
"issaquah, WA, USA","(47.5348778, -122.043297)"
"southport, FL, USA","(30.2893655, -85.6404834)"
"poughkeepsie, NY, USA","(41.7065539, -73.9283672)"
"woodway, TX, USA","(31.5059105, -97.2050856)"
"humble, TX, USA","(29.9988312, -95.2621553)"
"gowanda, NY, USA","(42.463117, -78.935868)"
"charlotte, MI, USA","(42.5637369, -84.8355792)"
"brooklyn, OH, USA","(41.439754, -81.7405559)"
"costa mesa, CA, USA","(33.6633386, -117.903317)"
"beltsville, MD, USA","(39.0299081, -76.9149547)"
"glenarden, MD, USA","(38.9292782, -76.8616387)"
"laurelton, NY, USA","(40.6667703, -73.7515212)"
"south bend, IN, USA","(41.6833813, -86.2500066)"
"pleasantville, OH, USA","(39.8097864, -82.5221031)"
"ionia, MI, USA","(42.9469688, -85.0713945)"
"placida, FL, USA","(26.8322884, -82.2648163)"
"midland, GA, USA","(32.5748608, -84.827152)"
"pacific palisades, CA, USA","(34.0480643, -118.5264706)"
"rockaway park, NY, USA","(40.5805104, -73.8361535)"
"high point, NC, USA","(35.9556924, -80.0053176)"
"wheatridge, CO, USA","(41.149953350000004, -85.12945374617999)"
"reynoldsburg, OH, USA","(39.9547861, -82.8121191)"
"rochester, NY, USA","(43.157285, -77.615214)"
"studio city, CA, USA","(34.1483989, -118.3961877)"
"texas city, TX, USA","(29.396013, -94.9175485)"
"milwaukie, OR, USA","(45.4440051, -122.6412523)"
"westfield, NY, USA","(42.32228, -79.578103)"
"harker heights, TX, USA","(31.0746347, -97.6590473)"
"joliet, IL, USA","(41.5263603, -88.0840212)"
"el mirage, AZ, USA","(33.6130338, -112.324486)"
"lauderdale by the sea, FL, USA","(26.192028, -80.0964326)"
"garner, IA, USA","(43.102147, -93.6020069)"
"st. petersburg, FL, USA","(27.7700475, -82.6359078)"
"edmonds, WA, USA","(47.8105738, -122.3774952)"
"covington, WA, USA","(47.3657791, -122.100222)"
"avondale, AZ, USA","(33.4355977, -112.349602)"
"west valley, UT, USA","(40.6689125, -111.899296)"
"commerce, CA, USA","(34.003218, -118.1541961)"
"estero, FL, USA","(26.4381474, -81.8067537)"
"federalheights, CO, USA",
"lake suzy, FL, USA","(27.0381125, -82.0370322)"
"far rockaway, NY, USA","(40.6053825, -73.7551326)"
"pepper pike, OH, USA","(41.478387, -81.46373)"
"pinellas park, FL, USA","(27.8428025, -82.6995444)"
"akron, OH, USA","(41.083064, -81.518485)"
"grosse pointe woods, MI, USA","(42.4435616, -82.9069508)"
"corinth, TX, USA","(33.1540091, -97.0647322)"
"adams, TN, USA","(36.5823718, -87.0655751)"
"frisco, TX, USA","(33.1505998, -96.8238183)"
"woodstock, IL, USA","(42.3147529, -88.4474302)"
"potomac, MD, USA","(39.017936, -77.2094542)"
"augusta, GA, USA","(33.4709714, -81.9748429)"
"pittsburgh, PA, USA","(40.4416941, -79.9900861)"
"hunters creek village, TX, USA","(29.7705062, -95.4954973)"
"bee cave, TX, USA","(30.3085373, -97.94501)"
"simi valley, CA, USA","(34.2677404, -118.7538071)"
"rego park, NY, USA","(40.72286495, -73.86210252803048)"
"fairfax, VT, USA","(44.6652883, -73.0087203)"
"aledo, TX, USA","(32.6979939, -97.60399378280016)"
"brownsville, TX, USA","(25.9024289, -97.4981698)"
"dewittville, NY, USA","(42.2392247, -79.4453246)"
"santa cruz, CA, USA","(37.050096, -121.99059)"
"erie, PA, USA","(42.1294712, -80.0852695)"
"lakewood, NY, USA","(42.104224, -79.333104)"
"ridgefield, WA, USA","(45.8167616, -122.7433775)"
"collins, NY, USA","(42.49645, -78.920589)"
"rancho santa fe, CA, USA","(33.024231400000005, -117.19797812499999)"
"salinas, CA, USA","(36.6744117, -121.655037)"
"canyon country, CA, USA","(34.4233293, -118.4720281)"
"woodinville, WA, USA","(47.7545827, -122.1588902)"
"vansant, VA, USA","(37.2323331, -82.0990227)"
"hollywood pa, TX, USA",
"west university place, TX, USA","(29.7180075, -95.4338292)"
"westminster, CA, USA","(33.7578725, -117.9859054)"
"salem, OR, USA","(44.9391565, -123.033121)"
"el monte, CA, USA","(34.0751571, -118.036849)"
"bonney lake, WA, USA","(47.1870191, -122.1702293)"
"fairfield, ME, USA","(44.588511, -69.599075)"
"campbell, OH, USA","(41.0761424, -80.5932556)"
"hayward, CA, USA","(37.6688205, -122.080796)"
"view park, CA, USA","(34.2834089, -119.25378168796075)"
"dayton, OH, USA","(39.7589478, -84.1916069)"
"harrisburg, PA, USA","(40.2663107, -76.8861122)"
"fredonia, NY, USA","(42.440058, -79.331711)"
"new hyde park, NY, USA","(40.7352157, -73.6883239)"
"redington shores, FL, USA","(27.8261357, -82.8289923)"
"forest hill, TX, USA","(32.6720778, -97.2691812)"
"baltimore, OH, USA","(39.8453418, -82.6007185)"
"nashville, MI, USA","(42.6028137, -85.0930536)"
"nolensville, TN, USA","(35.9522852, -86.6694413)"
"dunlap, IL, USA","(40.8616513, -89.6777665)"
"grosse pointe park, MI, USA","(42.3816896, -82.9313655)"
"st augustine, FL, USA","(29.8946952, -81.3145395)"
"martinez, CA, USA","(38.0138934, -122.1338674)"
"pflugerville, TX, USA","(30.4393696, -97.6200043)"
"tulalip, WA, USA","(48.071385500000005, -122.26486740245815)"
"henderson, NV, USA","(36.0301134, -114.9826194)"
"seatac, WA, USA","(47.4449086, -122.283084)"
"missouri city, TX, USA","(29.6185669, -95.5377215)"
"clear lake, IA, USA","(43.1370751, -93.3813637)"
"hephzibah, GA, USA","(33.3140311, -82.0967857)"
"tolleson, AZ, USA","(33.4500497, -112.259309)"
"callaway, FL, USA","(30.1529791, -85.5699252)"
"orange park, FL, USA","(30.1654707, -81.7016346)"
"oak ridge, NC, USA","(36.1736211, -79.9892172)"
"coconut grove, FL, USA","(25.7126013, -80.2569947)"
"gig harbor, WA, USA","(47.3259697, -122.5878659)"
"carroll gardens, NY, USA","(40.6784201, -73.9948021)"
"oakland, ME, USA","(44.5403436, -69.7219916)"
"king city, OR, USA","(45.4028329, -122.804109)"
"culver city, CA, USA","(34.0211224, -118.396466)"
"mission viejo, CA, USA","(33.5965685, -117.659405)"
"apex, NC, USA","(35.7325352, -78.8505516)"
"etna, OH, USA","(39.957562, -82.6819548)"
"hollywood, CA, USA","(34.0980031, -118.329523)"
"gilroy, CA, USA","(37.0065078, -121.5631723)"
"landover, MD, USA","(38.9340002, -76.8966397)"
"piney point village, TX, USA","(29.759951, -95.5171646)"
"tumwater, WA, USA","(47.0080655, -122.910368)"
"arverne, NY, USA","(40.5934173, -73.7895462)"
"orange, CA, USA","(33.750631, -117.8722311)"
"inlet beach, FL, USA","(30.275510099999998, -86.01175734044097)"
"kingston springs, TN, USA","(36.1020038, -87.1150054)"
"stedman, NC, USA","(35.0134999, -78.6939063)"
"rosemary beach, FL, USA","(30.2802919, -86.015565)"
"thomasville, GA, USA","(30.8365815, -83.9787808)"
"palo alto, CA, USA","(37.4443293, -122.1598465)"
"west miami, FL, USA","(25.7560176, -80.2956847)"
"heath, OH, USA","(40.0228421, -82.4445991)"
"kenmore, WA, USA","(47.7596715, -122.2496367)"
"champaign, IL, USA","(40.1164841, -88.2430932)"
"medley, FL, USA","(25.8406526, -80.3264404)"
"salem, OH, USA","(40.9008923, -80.8567502)"
"visalia, CA, USA","(36.3302284, -119.292058)"
"jamestown, NY, USA","(42.0965167, -79.2380322)"
"saint lucie, FL, USA","(27.3900897, -80.457904)"
"whitestone, NY, USA","(40.7945457, -73.8184674)"
"richmond, CA, USA","(37.9357576, -122.347748)"
"mount juliet, TN, USA","(36.200055, -86.5186054)"
"annandale, VA, USA","(38.838491000000005, -77.20852375508332)"
"benbrook, TX, USA","(32.673188, -97.4605759)"
"turlock, CA, USA","(37.4946568, -120.8465941)"
"la crescenta, CA, USA","(34.230429, -118.2350733)"
"cohasset, CA, USA","(39.9254385, -121.7310898)"
"silver springs, FL, USA","(29.2166172, -82.0575797)"
"westworth village, TX, USA","(32.7597192, -97.4214547)"
"mclean, VA, USA","(38.93668525, -77.1858267942485)"
"royal palm beach, FL, USA","(26.7050822, -80.2279519)"
"queens, NY, USA","(40.7135078, -73.8283132)"
"flushing, MI, USA","(43.0630834, -83.8510732)"
"elkhart, IN, USA","(41.6012796, -85.8590603)"
"falls church, VA, USA","(38.882334, -77.1710914)"
"canoga park, CA, USA","(34.2011078, -118.5978087)"
"new york city, NY, USA","(40.7127281, -74.0060152)"
"winterville, NC, USA","(35.5290511, -77.4010762)"
"brook park, OH, USA","(41.3983838, -81.8045788)"
"burlington, NC, USA","(36.0956918, -79.4377991)"
"graham, WA, USA","(47.0395996, -122.2785729)"
"astoria, NY, USA","(40.7720145, -73.9302673)"
"maple heights, OH, USA","(41.4154413, -81.5655597)"
"hollis, NY, USA","(40.7134361, -73.7670772)"
"nashville, IN, USA","(39.2072377, -86.2469553)"
"verdi, NV, USA","(39.5182427, -119.988811)"
"busti, NY, USA","(42.038113, -79.283383)"
"anderson, OH, USA","(39.3610464, -83.0695705)"
"fox point, WI, USA","(43.1575827, -87.9017501)"
"sun city, AZ, USA","(33.6290111, -112.281933)"
"doraville, GA, USA","(33.8981579, -84.2832564)"
"shenandoah, TX, USA","(30.1802151, -95.4557726)"
"san pedro, CA, USA","(33.7358518, -118.2922934)"
"seacrest, FL, USA","(30.2828006, -86.0216796)"
"georgetown, TX, USA","(30.6370152, -97.6775634)"
"chico, CA, USA","(39.7284945, -121.8374777)"
"ecorse, MI, USA","(42.2444833, -83.145757)"
"spanaway, WA, USA","(47.0979462, -122.4243422)"
"dupont, WA, USA","(47.0990689, -122.637546)"
"saluda, NC, USA","(35.2362264, -82.3492839)"
"clyde hill, WA, USA","(47.631569, -122.2181054)"
"college point, NY, USA","(40.7876014, -73.8459682)"
"herkimer, NY, USA","(43.4911326, -74.9481252)"
"bryans road, MD, USA","(38.6270623, -77.0730325)"
"thornville, OH, USA","(39.896454, -82.4201539)"
"gresham, OR, USA","(45.4997475, -122.4309766)"
"goodell, IA, USA","(42.9238733, -93.6126125)"
"corona, NY, USA","(40.7469593, -73.8601456)"
"queens village, NY, USA","(40.7267692, -73.7415208)"
"santee, CA, USA","(32.8383828, -116.9739167)"
"merced, CA, USA","(37.1641544, -120.7678602)"
"grosse pointe, MI, USA","(42.3861485, -82.9118591)"
"cherry creek, NY, USA","(42.294504, -79.099764)"
"el centro, CA, USA","(32.792, -115.563051)"
"rossville, GA, USA","(34.983376, -85.28603)"
"corona, CA, USA","(33.8752945, -117.566444)"
"round lake beach, IL, USA","(42.3716881, -88.0900806)"
"germantown, MD, USA","(39.17130815, -77.26557848822242)"
"elmhurst, NY, USA","(40.7365804, -73.8783932)"
"whites creek, TN, USA","(36.2064467, -86.832887)"
"white settlement, TX, USA","(32.7595737, -97.4583538)"
"east fultonham, OH, USA","(39.8500679, -82.1220868)"
"snohomish, WA, USA","(48.0074736, -121.7304882)"
"hope mills, NC, USA","(34.9704419, -78.9453056)"
"pueblo, CO, USA","(38.2544472, -104.609141)"
"abingdon, VA, USA","(36.7104018, -81.975249)"
"el portal, FL, USA","(25.8553739, -80.193103)"
"battle creek, MI, USA","(42.3192548, -85.1824269)"
"hutto, TX, USA","(30.5427638, -97.5468898)"
"tukwila, WA, USA","(47.4627356, -122.2559156)"
"richlands, VA, USA","(37.0944752, -81.7997182)"
"south boston, MA, USA","(42.33824595, -71.04220870083492)"
"enosburg, VT, USA","(44.90660285, -72.8076936653064)"
"cedar hill, TX, USA","(32.5888072, -96.9553675)"
"north highlands, CA, USA","(38.6857362, -121.3721745)"
"belle isle, FL, USA","(28.4620763, -81.3606646)"
"neptune beach, FL, USA","(30.311908, -81.3964734)"
"edgewood, WA, USA","(47.2318245, -122.2843724)"
"warrensville heights, OH, USA","(41.43535, -81.514824)"
"san ysidro, CA, USA","(32.5520013, -117.0430813)"
"wilmington, CA, USA","(33.7800164, -118.262509)"
"cleveland, MS, USA","(33.7440023, -90.7248187)"
"vashon, WA, USA","(47.4480496, -122.46067)"
"utica, NY, USA","(43.1009031, -75.2326641)"
"university heights, OH, USA","(41.497831, -81.537346)"
"coconut creek, FL, USA","(26.271462800000002, -80.18181396580121)"
"san bernardino, CA, USA","(34.8253019, -116.0833144)"
"lewisville, TX, USA","(33.046233, -96.994174)"
"takoma park, MD, USA","(38.9778882, -77.0074765)"
"garrett, KY, USA","(37.4798212, -82.8315501)"
"west seneca, NY, USA","(42.8395833, -78.7541466)"
"greeley, CO, USA","(40.4233142, -104.7091322)"
"doctor phillips, FL, USA","(28.4608599, -81.4914804)"
"shavano park, TX, USA","(29.5849496, -98.5525194)"
"south holland, IL, USA","(41.6008681, -87.6069894)"
"mount perry, OH, USA","(39.8786789, -82.219868)"
"daly city, CA, USA","(37.6904826, -122.47267)"
"midway park, NC, USA","(35.061746, -80.65734198560408)"
"enterprise, FL, USA","(28.8691569, -81.2667299)"
"columbia, MO, USA","(38.951883, -92.3337366)"
"holladay, UT, USA","(40.6710765, -111.8250278)"
"harper woods, MI, USA","(42.4333367, -82.9238847)"
"stallings, NC, USA","(35.1083615, -80.66355902160382)"
"new haven, VT, USA","(44.1244783, -73.1537566)"
"oxnard, CA, USA","(34.1976308, -119.180381)"
"hemet, CA, USA","(33.7475203, -116.9719684)"
"bedford, OH, USA","(41.39311, -81.536509)"
"temple hills, MD, USA","(38.8140024, -76.9455296)"
"naples, FL, USA","(26.1421976, -81.7942944)"
"berkeley, CA, USA","(37.8708393, -122.272863)"
"webster, TX, USA","(29.5351724, -95.1161564)"
"saltville, VA, USA","(36.8815031, -81.7620635)"
"castlewood, VA, USA","(36.8725194, -82.3000411)"
"kingston, WA, USA","(47.7987627, -122.4990762)"
"middleburg heights, OH, USA","(41.3614401, -81.812912)"
"carlsbad, CA, USA","(33.1580933, -117.3505966)"
"arvada, CO, USA","(39.8005505, -105.0811573)"
"rosedale, NY, USA","(40.6620479, -73.7354097)"
"encino, CA, USA","(34.1591324, -118.5016166)"
"north pt, FL, USA","(27.044224, -82.2359254)"
"concord, CA, USA","(37.9768525, -122.0335624)"
"yuba city, CA, USA","(39.1404477, -121.6169108)"
"viper, KY, USA","(37.1826093, -83.1488268)"
"carroll, OH, USA","(40.5250362, -81.0927234)"
"biltmore forest, NC, USA","(35.5337246, -82.5284561)"
"hallandale, FL, USA","(25.98584285, -80.14118350866113)"
"mc allen, TX, USA","(31.924473, -106.415352)"
"stow, NY, USA","(42.1567241, -79.4014368)"
"fairfield, PA, USA","(39.7873173, -77.3685984)"
"brier, WA, USA","(47.7845419, -122.274294)"
"lancaster, PA, USA","(40.08067, -76.2411283)"
"barney, GA, USA","(31.0081834, -83.5125986)"
"bunnell, FL, USA","(29.4657731, -81.2576832)"
"greenbelt, MD, USA","(38.9933654, -76.88333238304114)"
"bladensburg, MD, USA","(38.9392997, -76.9337983)"
"medford, OR, USA","(42.3264181, -122.8718605)"
"waldorf, MD, USA","(38.6263882, -76.9106581)"
"cleveland, OK, USA","(35.2301869, -97.3109151)"
"hindman, KY, USA","(37.3359313, -82.9804414)"
"fort wayne, IN, USA","(41.0799898, -85.1386015)"
"st. albans city, VT, USA","(44.8107911, -73.0833607)"
"newbury park, CA, USA","(34.183671, -118.91183)"
"winters, CA, USA","(38.5249065, -121.970801)"
"upper marlboro, MD, USA","(38.8162451, -76.751708)"
"chamblee, GA, USA","(33.892176, -84.2988296)"
"river rouge, MI, USA","(42.2729262, -83.1352891)"
"morrison, CO, USA","(39.6535988, -105.191099)"
"belvidere, IL, USA","(42.2579991, -88.841734)"
"ashville, NY, USA","(42.096446, -79.3756044)"
"algona, WA, USA","(47.2784027, -122.2542238)"
"castle hills, TX, USA","(29.5232851, -98.5164071)"
"buena ventura lakes, FL, USA","(28.327117, -81.352301)"
"american canyon, CA, USA","(38.1785248, -122.255183)"
"los gatos, CA, USA","(37.226611, -121.9746797)"
"brown deer, WI, USA","(43.1744352, -87.972722)"
"alta loma, CA, USA","(34.122887, -117.5985775)"
"other city value - out of area, FL, USA",
"whitwell, TN, USA","(35.2014631, -85.5191323)"
"nashville, NC, USA","(35.974598, -77.9655406)"
"porter ranch, CA, USA","(34.2818164, -118.5612714)"
"williamsville, NY, USA","(42.9637836, -78.7377258)"
"rye, TX, USA","(30.7293628, -96.490244)"
"morgan hill, CA, USA","(37.130408, -121.6544974)"
"knightdale, NC, USA","(35.7878975, -78.4822938)"
"playa del rey, CA, USA","(33.9541453, -118.4388067)"
"glen oaks, NY, USA","(40.7470463, -73.7115199)"
"fircrest, WA, USA","(47.2317185, -122.514304)"
"rancho cucamonga, CA, USA","(34.1033192, -117.575173)"
"timnath, CO, USA","(40.5294388, -104.982086)"
"eastover, NC, USA","(35.099219, -78.78829551256487)"
"north redington beach, FL, USA","(27.8161361, -82.8206587)"
"murray, UT, USA","(40.6667841, -111.888417)"
"palmer, TX, USA","(32.423214099999996, -96.66367574642392)"
"trenton, GA, USA","(34.8720222, -85.50913)"
"biscoe, NC, USA","(35.3600553, -79.7796559)"
"newburgh heights, OH, USA","(41.4502488, -81.6626406)"
"panorama city, CA, USA","(34.2242902, -118.4453745)"
"valdosta, GA, USA","(30.8327022, -83.2784851)"
"highland hills, OH, USA","(41.448387, -81.51901)"
"greenbrier, TN, USA","(36.4275477, -86.8047199)"
"wildwood, GA, USA","(34.0615051, -84.41129)"
"douglaston, NY, USA","(40.768713, -73.7470765)"
"ontario, CA, USA","(34.065846, -117.64843)"
"--, FL, USA","(27.7567667, -81.4639835)"
"san mateo, CA, USA","(37.496904, -122.3330573)"
"college pt, NY, USA","(40.7876014, -73.8459682)"
"bowie, MD, USA","(38.9424464, -76.7301718)"
"scarsdale, NY, USA","(40.9880495, -73.7974133)"
"dania, FL, USA","(26.0543154, -80.1457426)"
"ft lauderdale, FL, USA","(26.1223084, -80.1433786)"
"national harbor, MD, USA","(38.7831238, -77.0128237)"
"valley village, CA, USA","(34.1637147, -118.3965758)"
"forest city, IA, USA","(43.2626747, -93.6376741)"
"brookpark, OH, USA","(41.4197915, -81.8238184)"
"santa clara, CA, USA","(37.2333253, -121.6846349)"
"benicia, CA, USA","(38.049365, -122.1585777)"
"south pasadena, CA, USA","(34.1133062, -118.1478291)"
"haltom city, TX, USA","(32.7995738, -97.2691817)"
"lyons, MI, USA","(42.9819773, -84.9469455)"
"forestville, NY, USA","(42.4684949, -79.1767785)"
"elk grove, CA, USA","(38.4087993, -121.3716178)"
"brush prairie, WA, USA","(45.7301923, -122.551327)"
"springfield, MO, USA","(37.2081729, -93.2922715)"
"manhattan, NY, USA","(40.7896239, -73.9598939)"
"west hills, CA, USA","(34.2032325, -118.645476)"
"bemus point, NY, USA","(42.1593392, -79.3922893)"
"chautauqua, NY, USA","(42.2894671, -79.421728)"
"aurora, IL, USA","(41.7571701, -88.3147539)"
"briarwood, NY, USA","(40.7092563, -73.8201394)"
"la tuna canyon, CA, USA","(34.2363775, -118.332066)"
"clemmons, NC, USA","(36.0215258, -80.3819984)"
"dixon, CA, USA","(38.4454641, -121.8232958)"
"pomona, CA, USA","(34.0553813, -117.7517496)"
"cedar bluff, VA, USA","(37.0876141, -81.7590032)"
"stanford, CA, USA","(37.426540700000004, -122.17030545534064)"
"jersey village, TX, USA","(29.888578, -95.5699185)"
"lanham, MD, USA","(38.965365000000006, -76.84179265424164)"
"spring valley village, TX, USA","(29.7896722, -95.5035529)"
"woodside, NY, USA","(40.7453798, -73.9054145)"
"ferrisburgh, VT, USA","(44.2057119, -73.2462973)"
"sparks, NV, USA","(39.5404679, -119.7487235)"
"hurst, TX, USA","(32.8234621, -97.1705678)"
"emeryville, CA, USA","(37.8314089, -122.2865266)"
"addison, TX, USA","(32.960477850000004, -96.8300673063398)"
"independence, OH, USA","(41.3816571, -81.6406872)"
"temecula, CA, USA","(33.4946353, -117.147366)"
"colerain township, OH, USA","(39.2584995, -84.63292616794756)"
"camas, WA, USA","(45.5863014, -122.403277)"
"soddy-daisy, TN, USA","(35.2359025, -85.1907904)"
"matlacha, FL, USA","(26.6282115, -82.07010541515427)"
"cleveland, NC, USA","(35.7331953, -80.6770111)"
"amherst, NY, USA","(42.9783924, -78.7997616)"
"newark, OH, USA","(40.0581205, -82.4012643)"
"highlands ranch, CO, USA","(39.5497243, -104.969565)"
"sunnyside, NY, USA","(40.7398242, -73.9354153)"
"port orchard, WA, USA","(47.5315625, -122.6384056)"
"dunnellon, FL, USA","(29.0491426, -82.4609331)"
"lafayette, IN, USA","(40.4191229, -86.8919011)"
"biscayne park, FL, USA","(25.8825951, -80.1806025)"
"lakewood, IL, USA","(42.22919, -88.355086)"
"cattaraugus, NY, USA","(42.2234823, -78.6477096)"
"castroville, TX, USA","(29.3510335, -98.88508703468696)"
"everman, TX, USA","(32.630968, -97.2891817)"
"medina, WA, USA","(47.620548, -122.2264453)"
"howard beach, NY, USA","(40.6578815, -73.8362459)"
"middleburg, FL, USA","(30.0688512, -81.8603778)"
"buckeye lake, OH, USA","(39.933473, -82.48256385263426)"
"flintstone, GA, USA","(34.9417429, -85.3435692)"
"fairfax, VA, USA","(38.8156356, -77.2836849)"
"bainbridge is, WA, USA","(47.6262688, -122.5209429)"
"sherman, NY, USA","(42.159224, -79.595326)"
"santa barbara, CA, USA","(34.4221319, -119.702667)"
"bristol, VA, USA","(36.6176148, -82.1484049)"
"other, TX, USA","(30.062103, -97.120096)"
"east los angeles, CA, USA","(34.0239015, -118.172015)"
"mercer, ME, USA","(44.6781171, -69.9364462)"
"granada hills, CA, USA","(34.2661558, -118.5174342)"
"pinedale, CA, USA","(36.8427269, -119.7898688)"
"bay lake, FL, USA","(28.3876261, -81.57491966925264)"
"orting, WA, USA","(47.0978795, -122.204282)"
"richland hills, TX, USA","(32.8159623, -97.2280695)"
"toluca lake, CA, USA","(34.1521688, -118.357141)"
"port arthur, TX, USA","(29.8716577, -93.9332302)"
"whitney, NV, USA","(36.0885321, -115.037213)"
"citra, FL, USA","(29.4119166, -82.1098156)"
"bronxville, NY, USA","(40.9381544, -73.8320784)"
"riverview, FL, USA","(27.871197, -82.3269883)"
"rowan, IA, USA","(42.7409876, -93.5521226)"
"adelphi, MD, USA","(39.0030666, -76.9721023)"
"canton, OH, USA","(40.7985464, -81.3749508)"
"lancaster, CA, USA","(34.6981064, -118.1366153)"
"clovis, CA, USA","(36.8252277, -119.7029194)"
"garden ridge, TX, USA","(29.6346708, -98.3052907)"
"oakwood, GA, USA","(34.227602, -83.8843455)"
"minnie, KY, USA","(37.4723222, -82.7540477)"
"kemah, TX, USA","(29.5427297, -95.0204837)"
"menifee, CA, USA","(33.6864432, -117.1770437)"
"clearwater beach, FL, USA","(27.9774736, -82.8279313)"
"glenford, OH, USA","(39.8881223, -82.317094)"
"blue ash, OH, USA","(39.2320073, -84.3782817)"
"cherryhillsvillage, CO, USA",
"ventura, IA, USA","(43.1266263, -93.477897)"
"dickinson, TX, USA","(29.4607876, -95.0513173)"
"haines city, FL, USA","(28.1067315, -81.6287423)"
"fife, WA, USA","(47.2359524, -122.3626381)"
